offer_result,offer_semester,offer_college_name,offer_professional,user_under_school,user_under_gpa,user_under_subject,user_graduate_school,user_graduate_gpa,user_graduate_subject
Offer,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211,90.91/100,信息管理与信息系统,"","",""
AD无奖,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211 & 985,85.5,软件工程,"","",""
Offer,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211 & 985,3.9513/5.0(89.513/100) 40/306,软件工程,"","",""
Offer,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,The Chinese University of Hong Kong,3.213/4,Computer Science,"","",""
Offer,2022 Fall,The Chinese University of Hong Kong 香港中文大学,Computer Science 计算机科学,The Chinese University of Hong Kong,3.213/4,Computer Science,"","",""
AD无奖,2022 Spring,National University of Singapore,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.58,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Glasgow,Computer Systems Engineering,211,3.4/5 等同于均分84,电子信息科学与技术,"","",""
Offer,2020 Fall,The Chinese University of Hong Kong,Master of Comparative and Public History,双非,GPA 3.87/4.00,广播电视工程,"","",""
AD无奖,2022 Fall,The University of Sheffield,Advanced Computer Science,211 & 985,87、17%,软件工程,"","",""
被拒,2022 Fall,Imperial College London,Computer Software Engineering,211 & 985,87、17%,软件工程,"","",""
被拒,2022 Fall,Imperial College London,Artificial Intelligence and Machine Learning,211 & 985,87、17%,软件工程,"","",""
AD无奖,2022 Fall,University of Glasgow,computing science,211 & 985,87、17%,软件工程,"","",""
Offer,2022 Fall,University of Twente,Computer Science,澳门大学,3.71(4),computer science,"","",""
AD无奖,2022 Spring,University of Windsor,Computer Science,双非,80,建筑学,"","",""
AD无奖,2022 Spring,Dalhousie University,Computer Science,双非,80,建筑学,"","",""
Offer,2022 Fall,University of Saskatchewan,Computer Science,双非,2.6,化工,211 & 985,3.03,无机化学
Waiting list,2022 Fall,University of Calgary,Software Engineering,双非,2.6,化工,211 & 985,3.03,无机化学
Offer,2022 Fall,Western University,Computer Science,双非,2.6,化工,211 & 985,3.03,无机化学
被拒,2022 Fall,McMaster University,Computer Science (Second Degree),双非,2.6,化工,211 & 985,3.03,无机化学
被拒,2022 Fall,McMaster University,Software Engineering,双非,2.6,化工,211 & 985,3.03,无机化学
Waiting list,2022 Fall,University of Calgary,Computer Science,双非,2.6,化工,211 & 985,3.03,无机化学
Offer,2022 Spring,Memorial University,Computer Engineering Technician,211,2.7/4.0,信息安全,"","",""
被拒,2022 Spring,Simon Fraser University,Computing Science,211,2.7/4.0,信息安全,"","",""
被拒,2022 Fall,Politecnico di Milano,Computer Science,211,79/100,计算机科学,"","",""
Offer,2022 Spring,Technical University of Denmark,Computer Science,211,79/100,计算机科学,"","",""
被拒,2022 Spring,Politecnico di Milano,Computer Science,211,79/100,计算机科学,"","",""
AD无奖,2022 Fall,Western University,Computer Science,211,80平均分 WES3/4,计算机科学与技术,"","",""
AD无奖,2022 Fall,University of Windsor,Applied Computing,211,80平均分 WES3/4,计算机科学与技术,"","",""
被拒,2022 Spring,University of Southern California,Computer Science,双非,3.7/5 rank 8/178,计算机科学与技术,"","",""
AD无奖,2022 Spring,Washington University in St. Louis,Computer Science,双非,3.7/5 rank 8/178,计算机科学与技术,"","",""
Offer,2022 Spring,University Leiden,Computer Science,"","","","","",""
被拒,2022 Fall,National University of Singapore,Computer Engineering,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,University of Glasgow,Computing Science,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,University of Leeds,Computer Science,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,The University of Sheffield,Advanced Computer Science,西北农林科技大学,3.6/4.0,软件工程,"","",""
AD无奖,2022 Fall,VU University Amsterdam,Computer Science,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,The University of Hong Kong,Computer Science（MSc）（FT / PT）,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,Aalto University,Software and Service Engineering,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,University of Edinburgh,Computer Science,西北农林科技大学,3.6/4.0,软件工程,"","",""
Offer,2022 Fall,University of Birmingham,Artificial Intelligence and Machine Learning,211,"90+, rank 1",CS相关专业（非CS）,"","",""
被拒,2022 Fall,The University of Manchester,Artificial Intelligence,211,"90+, rank 1",CS相关专业（非CS）,"","",""
Offer,2022 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,211,"90+, rank 1",CS相关专业（非CS）,"","",""
AD无奖,2022 Spring,George Washington University,Computer Science,211,89/100,自动化,"","",""
Offer,2022 Spring,Nanyang Technological University,Computer and Information Studies,211 & 985,3.6,英语翻译,曼彻斯特大学,distinction,教育技术
被拒,2022 Summer,Heidelberg University,Scientific Computing,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,GPA2.36,数学与应用数学,"","",""
Offer,2022 Spring,University of Groningen 格罗宁根大学,Computational and Applied Mathematics 计算与应用数学,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,GPA2.36,数学与应用数学,"","",""
Offer,2022 Spring,The Hong Kong University of Science and Technology,Department of Electronic and Computer Engineering,211 & 985,78,软件工程,"","",""
Offer,2022 Spring,University of New Brunswick,Computer Science,双非,拉胯，WES 2.5左右,土木工程,"","",""
Offer,2022 Spring,Fairleigh Dickinson University,Computer Science,双非,拉胯，WES 2.5左右,土木工程,"","",""
被拒,2022 Spring,University of Victoria,Electrical and Computer Engineering,985,后两年75，四年一共79,EE,"","",""
Offer,2022 Spring,Nanyang Technological University,Computer Science,985,3.57,"",NTU,4.95,""
被拒,2021 Fall,McMaster University,Computer Science,211,3.29/4,环境,211,"",""
被拒,2021 Fall,University of Calgary,Computer Science,211,3.29/4,环境,211,"",""
被拒,2021 Fall,University of Victoria,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,Wilfrid Laurier University,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,Carleton University,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,University of Guelph,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,Northeastern University,align computer science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,University of Saskatchewan,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,Western University,Computer Science,211,3.29/4,环境,211,"",""
被拒,2021 Fall,University of Alberta,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,Ontario Tech University,Computer Science,211,3.29/4,环境,211,"",""
被拒,2021 Fall,University of Ottawa,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,Ryerson University,Computer Science,211,3.29/4,环境,211,"",""
Offer,2021 Fall,University of St Andrews,Human computer Interaction,211 & 985,3.5,工业设计,"","",""
AD无奖,2022 Spring,FDU,Computer Science,211 & 985,"","","","",""
AD无奖,2022 Spring,Northeastern University,Computer Science,211 & 985,"","","","",""
AD无奖,2022 Spring,Bishops University,Computer Science,澳洲3年本科,5.71/7,IT专业,"","",""
被拒,2021 Fall,McGill University,Electrical and Computer Engineering,211 & 985,3.85/4.00,生物医学工程,"","",""
被拒,2021 Fall,Queen’s University,Computer Science,哈工大,89.5(8/50)    GPA：3.67（3/50）,计算机,"","",""
被拒,2021 Fall,University of British Columbia,Computer Science,合肥工业大学,87/100,电子商务,"","",""
Offer,2021 Fall,Concordia University,Computer Science,合肥工业大学,87/100,电子商务,"","",""
Offer,2021 Fall,University of Victoria,Computer Science,合肥工业大学,87/100,电子商务,"","",""
Offer,2021 Fall,University of Calgary,Computer Science,合肥工业大学,87/100,电子商务,"","",""
被拒,2021 Fall,McMaster University,Computer Science,合肥工业大学,87/100,电子商务,"","",""
Offer,2021 Fall,York University,Computer Science,合肥工业大学,87/100,电子商务,"","",""
被拒,2021 Fall,Simon Fraser University,Computer Science,合肥工业大学,87/100,电子商务,"","",""
Offer,2021 Fall,University of British Columbia,Computer Science,合肥工业大学,87/100,电子商务,"","",""
被拒,2021 Fall,University of Ottawa,ECE (Software Engineering),双非一本,83 top15%,网络工程,"","",""
AD无奖,2021 Fall,University of Ontario Institute of Technology,ECE (Software Engineering),双非一本,83 top15%,网络工程,"","",""
AD无奖,2022 Spring,University of Windsor,Master of Appiled Computing,双非一本,83 top15%,网络工程,"","",""
Offer,2021 Fall,University of Ottawa,Computer Science,"",四年88 /最后两年90/最后30学分大概90+,商,"","",""
Offer,2021 Fall,York University,Computer Science,"",四年88 /最后两年90/最后30学分大概90+,商,"","",""
Offer,2021 Fall,Carleton University,Computer Science,"",四年88 /最后两年90/最后30学分大概90+,商,"","",""
Offer,2021 Fall,National University of Singapore,Computer Science,211,88.3/100,计算机科学与技术,"","",""
Offer,2021 Fall,Carleton University,Computer Science,双非,3.43,建筑学,"","",""
Offer,2021 Fall,University of British Columbia,Computer Science,双非,3.43,建筑学,"","",""
被拒,2021 Fall,Queen’s University,Computer Science,211,83,网络工程,"","",""
AD无奖,2022 Spring,University of Ottawa,Electrical and Computer Engineering,211,83,网络工程,"","",""
被拒,2021 Fall,University of Alberta,Computer Science,211,83,网络工程,"","",""
被拒,2021 Fall,Western University,Computer Science,211,83,网络工程,"","",""
AD无奖,2021 Fall,Georg-August-Universität Göttingen,Applied Computer Science,211,83,网络工程,"","",""
被拒,2021 Fall,Universität Freiburg,Computer Science,211,83,网络工程,"","",""
被拒,2021 Fall,Technische Universität München,Computational Mechanics,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,85+,机械工程,"","",""
Offer,2022 Spring,Bishops University,Computer Science,双非,80,Network Engineering,211,"",""
Offer,2021 Fall,Nanyang Technological University 南洋理工大学,Computer Science 计算机科学,双非,77.97,机械设计制造及其自动化,香港城市大学,3.35/4.3,电子信息工程
Offer,2021 Spring,RWTH Aachen University,"Electrical Engineering, Information Technology and Computer Engineering",211 & 985,88.5,自动化,"","",""
AD无奖,2021 Fall,National University of Singapore,electrical and computer engineering,211 & 985,"86+, 30/200",电子信息,"","",""
被拒,2021 Fall,Sapienza University of Rome,Computer Engineering,双非,2.79/4.00,统计学,"","",""
被拒,2021 Fall,Politecnico di Torino,Computer Science,双非,2.79/4.00,统计学,"","",""
被拒,2021 Fall,The University of Melbourne,Computer Science,211 & 985,88,电子类,"","",""
Offer,2021 Fall,The Education University of Hong Kong 香港教育大学,Artificial Intelligence 人工智能,211,79   8/31,农业水利工程,"","",""
Offer,2021 Fall,The Chinese University of Hong Kong,Comparative and Public History(MA)（FT / PT）,211,3.81/4,新闻学,cuhk,"",""
Offer,2021 Fall,Northeastern University,Computer Science,双非,90,精算学,"","",""
Offer,2021 Fall,University of British Columbia,Computer Science,双非,90,精算学,"","",""
Offer,2022 Fall,National University of Singapore,Computational and Applied Mathematics,211 & 985,均分88/100，排名3，20%以内,信息与计算科学,"","",""
AD无奖,2021 Fall,Northeastern University,Computer Science - Aglin,双非,3.86/4.00,统计,"","",""
Offer,2021 Fall,Memorial University,Computer Science,211,6/50,计算机科学与技术,"","",""
Offer,2021 Fall,Nanyang Technological University,Computer Science,211 & 985,"","",211 & 985,"",""
AD无奖,2021 Fall,KU Leuven,Artificial Intelligence,211 & 985,"","","","",""
Offer,2021 Fall,RWTH Aachen University,"Electrical Engineering, Information Technology and Computer Engineering",University of British Columbia,82%,"Electrical Engineering, Biomedical Optio","","",""
被拒,2021 Fall,National University of Singapore,Computer Science,211,3.7/4.0 86/100 top15%,计算机科学与技术,"","",""
被拒,2021 Fall,University of Zurich,Neural System and Computation,南京航空航天大学,88/100,自动化,"","",""
AD无奖,2021 Fall,RWTH Aachen University,Software Systems Engineering,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,91.3,计算机科学与技术,"","",""
被拒,2021 Fall,Delft University of Technology,Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,Texas A&amp;M University,Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,University of Calgary,Computer Scinece,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,Aalto University,Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,University of Maryland - College Park,Human-Computer Interaction,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,"Rutgers University, New Brunswick",Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
AD无奖,2021 Fall,University of Colorado Boulder,Computer Science (course-based),211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
AD无奖,2021 Fall,University of Amsterdam,Joint Computer Scinece (big data track),211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
AD小奖,2021 Fall,"Rutgers University, Camden",Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,Simon Fraser University,Computer Science(Visual Computing),211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
Waiting list,2021 Fall,Paris-Sud University,Human Computer Interaction,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,North Carolina State University--Raleigh,Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
AD无奖,2021 Fall,Tufts University,Computer Science (with thesis),211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,Aalto University,Human Computer Interaction,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
AD无奖,2021 Fall,VU University Amsterdam,Joint Computer Science (big data track),211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,Northeastern University,Computer Science,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
被拒,2021 Fall,University of Waterloo,Electrical and Computer Engineering,211 & 985,3.58/85,工业设计+计算机（二专业）,"","",""
AD无奖,2021 Fall,University of Zurich,Artificial Intelligence+Data Science,211,3.78 10%,计算机科学,"","",""
AD无奖,2021 Fall,Concordia University,Computer Science,211,80+,生物,"","",""
被拒,2021 Fall,Columbia University,Computer Science,哈尔滨工业大学,90.6,CS,"","",""
Offer,2021 Fall,Hong Kong Baptist University,Department of Computer Science,211 & 985,"",信息与计算科学,"Uppsala University, Sweden","",计算语言学
被拒,2021 Fall,"University of British Columbia, Okanagan",M.Sc. in Computer Science,211 & 985,"3.6, ranking 30%",类似计算机科学与技术的专业,"","",""
被拒,2021 Fall,Simon Fraser University,MSc in Computer Science,211 & 985,"3.6, ranking 30%",类似计算机科学与技术的专业,"","",""
被拒,2021 Fall,"University of British Columbia, Vancouver",M.Sc. in Computer Science,211 & 985,"3.6, ranking 30%",类似计算机科学与技术的专业,"","",""
被拒,2021 Fall,University of Guelph,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,University of Alberta,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,Brock University,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,Simon Fraser University,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,University of Ottawa,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,Memorial University,Computer Science,211,75% 2.5/5,通信工程,"","",""
Offer,2021 Fall,Lakehead University,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,Western University,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,University of Victoria,Computer Science,211,75% 2.5/5,通信工程,"","",""
被拒,2021 Fall,University of Windsor,Computer Science,211,75% 2.5/5,通信工程,"","",""
AD无奖,2021 Fall,Università della Svizzera italiana,Artificial Intelligence,211 & 985,"",自动化,"","",""
AD无奖,2021 Fall,University of Glasgow,Computer Systems Technician,211 & 985,"",自动化,"","",""
Offer,2021 Fall,University of Trento,Computer Science,211 & 985,"",自动化,"","",""
AD无奖,2021 Fall,Université Grenoble Alpes,Computer Science,211 & 985,"",自动化,"","",""
AD无奖,2021 Fall,IP Paris,Computer Science,211 & 985,"",自动化,"","",""
AD无奖,2021 Fall,Sapienza University of Rome,Computer Science,211 & 985,"",自动化,"","",""
AD小奖,2021 Fall,EURECOM,Mobile Computing System,211 & 985,"",自动化,"","",""
AD小奖,2021 Fall,University of Birmingham,Computer Science,211 & 985,"",自动化,"","",""
Offer,2021 Fall,The Chinese University of Hong Kong,Comparative and Public History(MA)（FT / PT）,211 & 985,87/100,历史学,"","",""
AD无奖,2021 Fall,Politecnico di Milano,Computer Science,211 & 985,89,计算机科学与技术,"","",""
AD小奖,2021 Fall,Chalmers University of Technology,Computer systems and networks,211 & 985,89,计算机科学与技术,"","",""
AD无奖,2021 Fall,RWTH Aachen University,Software systems engineering,211 & 985,89,计算机科学与技术,"","",""
AD无奖,2021 Fall,University of Stuttgart,Computer Science,211 & 985,89,计算机科学与技术,"","",""
AD无奖,2021 Fall,University of Copenhagen,Computer Science,211 & 985,89,计算机科学与技术,"","",""
被拒,2021 Fall,The Chinese University of Hong Kong,Computer Science(MSc)（FT / PT）,华南理工大学,"3.85/4, 89/100",机械工程,"","",""
AD无奖,2021 Fall,Aalborg University,Computer Science,双非,82,软件工程,"","",""
被拒,2021 Fall,University of Copenhagen,Computer Science,双非,82,软件工程,"","",""
被拒,2021 Fall,Royal Institute of Technology,Computational and Applied Mathematics,211,2.97/4.0(76%) 排名后百分之九十,数学与应用数学,"","",""
AD无奖,2021 Fall,Technical University of Denmark,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.5/4,CS,"","",""
AD无奖,2021 Fall,Eindhoven University of Technology,Computer science and engineering,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.5/4,CS,"","",""
AD无奖,2021 Fall,VU University Amsterdam,Computer Science,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.5/4,CS,"","",""
被拒,2021 Fall,RWTH Aachen University,Software Engineering,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.5/4,CS,"","",""
被拒,2021 Fall,Simon Fraser University,Professional computer science（big data）,中流985,82.17/100,数学与应用数学,中流985,82.7/100,计算数学
AD无奖,2021 Fall,University of Edinburgh,Computer Science,西安交通大学,84.7,cs,"","",""
Offer,2021 Fall,The Chinese University of Hong Kong,Comparative and Public History(MA)（FT ）,国内rank15左右的985,80/100,汉语言文学,"","",""
Offer,2021 Fall,University College London,Robotics and Computation,211 & 985,89.6/100，3.77/4.00,机械工程,"","",""
AD无奖,2021 Fall,University of Edinburgh,Artificial Intelligence,211 & 985,3.92,应用数学,"","",""
被拒,2021 Fall,Western University,Computer Science,211 & 985,3.0/4.0,建筑环境与设备工程,双非,3.92,建筑与土木工程
Offer,2021 Fall,Carleton University,Computer Science,临沂大学,3.39,工商管理,蒙特利尔大学,3.67,国际商法
Offer,2021 Fall,York University,Computer Science,临沂大学,3.39,工商管理,蒙特利尔大学,3.67,国际商法
被拒,2021 Fall,City University of Hong Kong,Computer Science（MSc）（FT / PT）,双非,"",计算机科学与技术,"","",""
Waiting list,2021 Fall,Politecnico di Torino,Computer Engineering Technician,双非,"",计算机科学与技术,"","",""
被拒,2021 Fall,University of Twente,Computer Science,双非,"",计算机科学与技术,"","",""
AD无奖,2021 Fall,VU University Amsterdam,Computer Science-Big Data Engineering,双非,"",计算机科学与技术,"","",""
Offer,2021 Fall,City University of Hong Kong,Computer Science（MSc）（FT / PT）,海本,3.2,"","","",""
AD无奖,2021 Fall,VU University Amsterdam,Artificial Intelligence,双非二本,78.52,网络工程（物联网）,"","",""
AD无奖,2021 Fall,Utrecht University,Artificial Intelligence,双非二本,78.52,网络工程（物联网）,"","",""
AD无奖,2021 Fall,National University of Singapore,Computer Science,211 & 985,88/100,计算机科学与技术,"","",""
AD无奖,2021 Fall,National University of Singapore,Computer Science,211 & 985,88/100,计算机科学与技术,"","",""
Offer,2021 Fall,National University of Singapore,MComp Computer Science,"","","","","",""
Offer,2021 Fall,National University of Singapore,Computing,211 & 985,3.90/4.0,软件工程,"","",""
Offer,2021 Fall,Nanyang Technological University,Artificial Intelligence,211 & 985,3.90/4.0,软件工程,"","",""
AD无奖,2021 Fall,University of Copenhagen,Computer Science,四川大学,86.67,计算机科学与技术,"","",""
Offer,2021 Fall,University of Bristol,computer science conversion,211,3.4/4,商务英语,双非,3.8/4,""
被拒,2021 Fall,McGill University,Computer Science,哈工大,89.5(8/50)    GPA：3.67（3/50）,计算机,"","",""
AD无奖,2021 Fall,University of British Columbia,Electrical and Computer Engineering,哈工大,89.5(8/50)    GPA：3.67（3/50）,计算机,"","",""
Offer,2021 Fall,University of Edinburgh,Computer Science,211 & 985,"92/100, 10%",车辆工程,"","",""
被拒,2021 Fall,York University,Computer Science,双非,3.3/5,心理学,"","",""
被拒,2021 Fall,Ryerson University,Computer Science,双非,3.3/5,心理学,"","",""
AD无奖,2021 Fall,Carleton University,Computer Science,双非,3.3/5,心理学,"","",""
AD无奖,2021 Fall,Western University,Computer Science,双非,3.3/5,心理学,"","",""
AD无奖,2021 Fall,University of Windsor,Computer Science,双非,3.3/5,心理学,"","",""
AD无奖,2021 Fall,Brock University,Computer Science,双非,3.3/5,心理学,"","",""
AD无奖,2021 Fall,Australian National University,Computing,211,3.3/4.0,通信工程,"","",""
Offer,2021 Fall,University of Twente,Computer Science,"","","","","",""
Offer,2021 Fall,VU University Amsterdam,Computer Science,"","","","","",""
Offer,2021 Fall,VU University Amsterdam,Artificial Intelligence,"","","","","",""
被拒,2021 Fall,Rice University,Computer Science,北京邮电大学,88.7,电信工程及管理,"","",""
被拒,2021 Fall,Brown University,Computer Science,北京邮电大学,88.7,电信工程及管理,"","",""
Offer,2021 Fall,City University of Hong Kong,Computer Science（PhD）,211,89,信息管理与信息系统,The University of Edinburgh,Merit,Data Science
AD无奖,2021 Fall,University College London,Architecture Computation,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,3.6/4.0,建筑学,"","",""
AD无奖,2021 Fall,University of Michigan,Computer Engineering Technician,"","","","","",""
Offer,2021 Fall,The Chinese University of Hong Kong 香港中文大学,Computer Science 计算机科学,211 & 985,88.47,自动化,"","",""
AD无奖,2021 Fall,Wilfrid Laurier University,Applied Computing w/ Coop,海本,"","","","",Computer Science
被拒,2021 Fall,Carnegie Mellon University,Computational Data Science MCDS,清华/北大/中科大,89/100， top5%,信息管理与信息系统,"","",""
被拒,2021 Fall,University of Calgary,Computer Science,211,2.8/4,法学,University of Houston,3.78/4,Hospitality management
AD无奖,2021 Fall,Northeastern University - Van,Computer Science - align,211,2.8/4,法学,University of Houston,3.78/4,Hospitality management
AD无奖,2021 Fall,Mount Allison University,Computer Science,211,2.8/4,法学,University of Houston,3.78/4,Hospitality management
被拒,2021 Fall,York University,Computer Science,211,2.8/4,法学,University of Houston,3.78/4,Hospitality management
AD无奖,2021 Fall,Lakehead University,Computer Science,211,2.8/4,法学,University of Houston,3.78/4,Hospitality management
AD无奖,2021 Fall,Simon Fraser University,Computer Science,211 & 985,3.57,自动化,"","",""
被拒,2021 Fall,University of Bristol,Computer Science (conversion),211,85.74/100,电子信息工程,"","",""
Offer,2021 Fall,University of Birmingham,Computer Science,211,85.74/100,电子信息工程,"","",""
Offer,2021 Fall,University of Glasgow,Computer Systems Engineering,211,85.74/100,电子信息工程,"","",""
被拒,2021 Fall,Western University,Computer Science,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
被拒,2021 Fall,University of British Columbia,Electrical and Computer Engineering,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
Offer,2021 Fall,Concordia University,Computer Software Engineering,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
Offer,2021 Fall,University of Waterloo,Electrical and Computer Engineering,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
被拒,2021 Fall,University of Ottawa,Computer Science,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
Offer,2021 Fall,Queen’s University,Electrical and Computer Engineering,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
Offer,2021 Fall,University of Alberta,Electrical and Computer Engineering,211,GPA3.75/4.2，均分89.2，3/70,物联网,"","",""
Offer,2021 Fall,York University,Computer Science,双非,80-83,商科,"","",""
Offer,2021 Fall,Northeastern University,Computer Science - align (van),双非,80-83,商科,"","",""
Offer,2021 Fall,Carleton University,Computer Science,双非,80-83,商科,"","",""
被拒,2021 Fall,University of Ottawa,Computer Science,双非,80-83,商科,"","",""
被拒,2021 Fall,McMaster University,Computer Science,双非,80-83,商科,"","",""
被拒,2021 Fall,University of Victoria,Computer Science,双非,80-83,商科,"","",""
Offer,2021 Fall,Dalhousie University,Computer Science,双非,80-83,商科,"","",""
被拒,2021 Fall,National University of Singapore,software engineering,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,"",软件工程,"","",""
AD无奖,2021 Fall,University of Ottawa 渥太华大学,Electrical and Computer Engineering 电子和计算机工程,211,3.34,物联网工程,"","",""
被拒,2021 Fall,Queens University,Electrical and Computer Engineering 电子和计算机工程,211,3.34,物联网工程,"","",""
被拒,2021 Fall,McMaster University,Electrical and Computer Engineering 电子和计算机工程,211,3.34,物联网工程,"","",""
被拒,2021 Fall,University of Calgary,Electrical and Computer Engineering 电子和计算机工程,211,3.34,物联网工程,"","",""
AD无奖,2021 Fall,Western University,Electrical and Computer Engineering 电子和计算机工程,211,3.34,物联网工程,"","",""
AD无奖,2021 Fall,University of Alberta,Electrical and Computer Engineering 电子和计算机工程,211,3.34,物联网工程,"","",""
Offer,2021 Fall,National University of Singapore,Computer Science,211,"",cs,加拿大,"",""
Offer,2021 Fall,University of Pennsylvania,Master of Computer and Information Technology,双非,"",Architecture,McGill  University,"",Architecture
AD无奖,2021 Fall,Nanyang Technological University,Artificial Intelligence,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,"","","","",""
Offer,2021 Fall,University of Bristol,Computer Science,211 & 985,3.4 / 4,软件工程,"","",""
被拒,2021 Fall,The University of Manchester,advanced computer science,211 & 985,3.4 / 4,软件工程,"","",""
被拒,2021 Fall,University College London,Computer Graphics,211 & 985,3.4 / 4,软件工程,"","",""
Offer,2021 Fall,Hong Kong Baptist University 香港浸会大学,Comparative Literature 比较文学,211 & 985,82/100,小语种,"","",""
Offer,2021 Fall,National University of Singapore,Computer Science,浙江大学,87.4 17/77,软件工程,"","",""
AD小奖,2021 Fall,University of Florida,Electrical and Computer Engineering,211 & 985,2.94/4（WES），79/100,物联网工程,"","",""
AD无奖,2021 Fall,University of Glasgow,Robot and Artificial Intelligence,211 & 985,2.94/4（WES），79/100,物联网工程,"","",""
AD无奖,2021 Fall,Worcester Polytechnic Institute,Computer Science,211 & 985,2.94/4（WES），79/100,物联网工程,"","",""
AD无奖,2021 Fall,Nanyang Technological University,Artificial Intelligence,211 & 985,2.94/4（WES），79/100,物联网工程,"","",""
被拒,2021 Fall,University of British Columbia,Computer Science,哈工大,89.5(8/50)    GPA：3.67（3/50）,计算机,"","",""
AD无奖,2021 Fall,Concordia University,Computer Science,211 & 985,80,电子信息科学,"","",""
被拒,2021 Fall,Imperial College London,Computer Software Engineering,同济大学,90.02,软件工程,"","",""
AD无奖,2021 Fall,University College London,Computer Graphics,同济大学,90.02,软件工程,"","",""
AD无奖,2021 Fall,Nanyang Technological University,Artificial Intelligence,"",89.97,数字媒体技术,"","",""
AD无奖,2021 Fall,University of Bath,human computer interaction,211 & 985,78/100,土木工程,"","",""
AD无奖,2021 Fall,University of Groningen,computational cognitive science,211 & 985,78/100,土木工程,"","",""
Offer,2021 Fall,University of Waterloo 滑铁卢大学,Computer Science 计算机科学,加本,90%,Computer Science,"","",""
